,State,County,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating
227,GA,BARTOW,1,1,2.0
228,GA,BEN HILL,1,1,3.0
229,GA,BIBB,3,3,3.3333333333333335
230,GA,BULLOCH,1,1,2.0
231,GA,CAMDEN,1,1,3.0
232,GA,CARROLL,2,2,2.5
233,GA,CHATHAM,3,3,1.6666666666666667
234,GA,CHATTOOGA,1,1,5.0
235,GA,CHEROKEE,1,1,2.0
236,GA,CLARKE,2,2,3.5
237,GA,CLAYTON,1,1,1.0
238,GA,COBB,2,2,3.0
239,GA,COFFEE,1,1,3.0
240,GA,COLQUITT,2,1,2.0
241,GA,COOK,1,1,3.0
242,GA,COWETA,2,2,3.5
243,GA,CRISP,1,1,2.0
244,GA,DECATUR,1,1,3.0
245,GA,DEKALB,4,3,2.3333333333333335
246,GA,DODGE,1,1,4.0
247,GA,DOUGHERTY,1,1,2.0
248,GA,DOUGLAS,1,1,4.0
249,GA,ELBERT,1,1,3.0
250,GA,EMANUEL,1,1,4.0
251,GA,EVANS,1,1,4.0
252,GA,FANNIN,1,1,3.0
253,GA,FAYETTE,1,1,2.0
254,GA,FLOYD,2,2,4.0
255,GA,FORSYTH,1,1,2.0
256,GA,FRANKLIN,1,1,3.0
257,GA,FULTON,8,7,2.4285714285714284
258,GA,GLYNN,1,1,2.0
259,GA,GORDON,1,1,5.0
260,GA,GRADY,1,1,4.0
261,GA,GWINNETT,2,2,3.0
262,GA,HABERSHAM,1,1,2.0
263,GA,HALL,1,1,3.0
264,GA,HENRY,1,1,1.0
265,GA,HOUSTON,2,2,4.0
266,GA,IRWIN,1,1,3.0
267,GA,JACKSON,1,1,3.0
268,GA,JEFFERSON,1,1,3.0
269,GA,LAURENS,1,1,4.0
270,GA,LOWNDES,1,1,3.0
271,GA,LUMPKIN,1,1,3.0
272,GA,MCDUFFIE,1,1,4.0
273,GA,MURRAY,1,1,3.0
274,GA,MUSCOGEE,3,3,4.0
275,GA,NEWTON,1,1,2.0
276,GA,PAULDING,1,1,4.0
277,GA,PICKENS,1,1,3.0
278,GA,PULASKI,1,1,3.0
279,GA,RICHMOND,4,4,2.75
280,GA,ROCKDALE,1,1,2.0
281,GA,SEMINOLE,1,1,3.0
282,GA,SPALDING,1,1,2.0
283,GA,STEPHENS,1,1,4.0
284,GA,SUMTER,1,1,2.0
285,GA,THOMAS,1,1,4.0
286,GA,TIFT,1,1,2.0
287,GA,TOOMBS,1,1,3.0
288,GA,TROUP,1,1,4.0
289,GA,UNION,1,1,5.0
290,GA,UPSON,1,1,2.0
291,GA,WALTON,1,1,2.0
292,GA,WARE,1,1,1.0
293,GA,WASHINGTON,1,1,3.0
294,GA,WAYNE,1,1,3.0
295,GA,WHITFIELD,1,1,4.0
296,HI,HAWAII,6,3,3.3333333333333335
297,HI,HONOLULU,10,7,4.142857142857143
298,HI,KAUAI,3,1,4.0
299,HI,MAUI,4,1,3.0
300,IA,BLACK HAWK,3,3,3.0
301,IA,CARROLL,2,1,4.0
302,IA,CERRO GORDO,1,1,4.0
303,IA,CLAY,1,1,4.0
304,IA,CLINTON,2,1,4.0
305,IA,DES MOINES,1,1,3.0
306,IA,DICKINSON,1,1,4.0
307,IA,DUBUQUE,3,2,4.0
308,IA,JASPER,1,1,3.0
309,IA,JOHNSON,2,2,4.0
310,IA,LEE,2,2,3.0
311,IA,LINN,2,2,4.0
312,IA,MARSHALL,1,1,3.0
313,IA,MUSCATINE,1,1,4.0
314,IA,POLK,4,4,3.0
315,IA,POTTAWATTAMIE,2,2,3.0
316,IA,POWESHIEK,1,1,3.0
317,IA,SCOTT,2,2,3.0
318,IA,STORY,2,1,5.0
319,IA,WAPELLO,1,1,3.0
320,IA,WEBSTER,1,1,4.0
321,IA,WOODBURY,2,2,1.0
322,ID,ADA,4,2,4.0
323,ID,BANNOCK,1,1,4.0
324,ID,BONNEVILLE,2,2,4.5
325,ID,CANYON,2,2,3.5
326,ID,KOOTENAI,2,2,4.5
327,ID,MADISON,1,1,5.0
328,ID,NEZ PERCE,1,1,4.0
329,ID,TWIN FALLS,1,1,4.0
330,IL,ADAMS,1,1,3.0
331,IL,BOND,1,1,3.0
332,IL,BUREAU,2,1,4.0
333,IL,CHAMPAIGN,2,2,3.0
334,IL,CLINTON,1,1,5.0
335,IL,COLES,1,1,4.0
